Player,Age,Team,Position,Games,Games Started,Avg minutes played,Avg field goal,Avg field goal attempts,Field goal percentage,avg three points made,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Thomas Bryant,28,CLE,C,28,0,9.7,1.7,3.4,0.511,0.5,1.6,0.333,1.2,1.8,0.673,0.59,0.9,1,0.828,0.8,1.9,2.8,0.4,0.3,0.4,0.4,1.1,4.8
Branden Carlson,26,OKC,C,28,1,11,2.1,3.9,0.541,0.6,1.8,0.36,1.5,2.1,0.695,0.624,0.3,0.6,0.529,0.6,2,2.6,0.6,0.2,0.5,0.4,0.9,5.2
Jaylen Clark,24,MIN,SG,34,0,14.4,1.6,3.6,0.434,0.5,1.6,0.296,1.1,2,0.544,0.5,0.9,1.4,0.653,0.9,1,1.9,0.5,0.8,0.2,0.4,1.5,4.5
Ousmane Dieng,22,OKC,C,17,0,12.5,1.6,3.6,0.443,0.8,1.9,0.438,0.8,1.7,0.448,0.557,0.4,0.4,1,0.4,1.4,1.8,0.9,0.1,0.3,0.4,1.1,4.4
Luka Garza,27,BOS,C,28,1,15.9,2.6,4.2,0.627,0.6,1.3,0.486,2,2.9,0.691,0.703,1.5,1.9,0.796,2.5,1.7,4.1,1,0.4,0.5,0.4,2.5,7.5
Josh Green,25,CHO,SG,13,0,15.5,1.6,3.6,0.447,1.2,2.9,0.395,0.5,0.7,0.667,0.606,0.1,0.2,0.5,0.8,0.8,1.7,1,0.6,0,0.4,1,4.5
Tim Hardaway Jr.,33,DEN,SG,36,5,26.9,4.6,9.9,0.458,2.8,6.8,0.411,1.8,3.1,0.563,0.599,1.6,1.9,0.881,0.2,2.1,2.3,1.4,0.4,0.1,0.4,1.3,13.6
Elijah Harkless,25,UTA,SG,7,0,9.4,0.6,1.6,0.364,0.3,1,0.286,0.3,0.6,0.5,0.455,1,1.3,0.778,0.3,0.6,0.9,0.7,0.6,0,0.4,1.4,2.4
Gary Harris,31,MIL,SG,27,0,14.7,1,2,0.473,0.5,1.1,0.433,0.5,0.9,0.52,0.591,0.2,0.2,1,0.3,1.1,1.4,1,0.6,0.2,0.4,1.3,2.6
DaRon Holmes,23,DEN,PF,8,4,13.5,1.4,3.3,0.423,1,2.4,0.421,0.4,0.9,0.429,0.577,0.6,0.8,0.833,0.4,1.4,1.8,1.6,0,0.5,0.4,1.1,4.4
Caleb Houstan,23,ATL,SF,9,0,4.9,0.7,1.6,0.429,0.6,1.2,0.455,0.1,0.3,0.333,0.607,0.3,0.3,1,0.4,0.1,0.6,0.2,0.1,0.1,0.4,0.6,2.2
Andre Jackson Jr.,24,MIL,SG,15,0,6.5,0.5,1.6,0.292,0.2,1,0.2,0.3,0.6,0.444,0.354,0.3,0.4,0.833,0.3,0.5,0.8,1.1,0.3,0.1,0.4,0.9,1.5
AJ Johnson,21,WAS,SG,19,0,6.4,0.6,2.2,0.262,0.2,0.7,0.308,0.4,1.5,0.241,0.31,0.2,0.2,0.75,0.1,0.6,0.7,0.7,0.2,0,0.4,0.3,1.5
Keshad Johnson,24,MIA,SF,15,0,8.7,1.1,3,0.356,0.3,1.2,0.278,0.7,1.8,0.407,0.411,0.6,0.9,0.692,0.9,1.4,2.3,0.1,0.3,0.3,0.4,0.8,3.1
Maxi Kleber,34,LAL,PF,17,0,12.1,0.5,1.9,0.281,0.2,0.9,0.2,0.4,1,0.353,0.328,0.5,0.7,0.75,0.5,1.2,1.8,0.6,0.3,0.3,0.4,1.6,1.8
Christian Koloko,25,2TM,C,11,2,15.6,1.1,2.5,0.444,0,0.1,0,1.1,2.4,0.462,0.444,0.1,0.4,0.25,1.3,1.7,3,0.7,0.9,0.9,0.4,1.6,2.3
Yanic Konan Niederhäuser,22,LAC,C,19,0,8.4,1.3,2.1,0.615,0,0.1,0,1.3,2,0.632,0.615,0.7,1.2,0.565,0.9,1.2,2.2,0.3,0.1,0.4,0.4,1.2,3.2
Kyle Lowry,39,PHI,PG,5,0,8.6,0.4,1,0.4,0.4,1,0.4,0,0,,0.6,0,0,,0,0.6,0.6,1.4,0.2,0,0.4,0.6,1.2
Caleb Martin,30,DAL,SF,30,0,9.6,0.6,1.7,0.346,0.1,0.5,0.143,0.5,1.3,0.421,0.365,0.3,0.4,0.75,0.5,1,1.4,1,0.4,0.1,0.4,1.4,1.6
Jahmai Mashack,23,MEM,SG,7,0,3.6,0.3,1.1,0.25,0.3,0.9,0.333,0,0.3,0,0.375,0,0,,0,0.7,0.7,0.3,0.1,0,0.4,0.1,0.9
Doug McDermott,34,SAC,SF,7,0,10,1.1,3.3,0.348,1.1,3.3,0.348,0,0,,0.522,0,0,,0,0.7,0.7,0.3,0,0.1,0.4,0.7,3.4
Leonard Miller,22,MIN,SF,14,0,4.9,1.1,2,0.571,0.1,0.7,0.1,1.1,1.3,0.833,0.589,0.3,0.5,0.571,0.4,1,1.4,0.3,0.2,0,0.4,0.8,2.6
Zeke Nnaji,25,DEN,PF,24,1,10.8,1.3,2.4,0.517,0.4,1,0.36,0.9,1.4,0.636,0.595,0.9,1.2,0.786,0.5,1.4,1.9,0.3,0.4,0.4,0.4,1.2,3.8
Taelon Peter,23,IND,SG,21,0,5.8,0.5,1.6,0.294,0.4,1.5,0.281,0,0.1,0.5,0.426,0.2,0.3,0.667,0.3,0.6,0.9,0.7,0.1,0.1,0.4,0.3,1.6
Dwight Powell,34,DAL,C,24,1,12.2,0.8,1.3,0.613,0,0,,0.8,1.3,0.613,0.613,1.1,1.7,0.65,1.1,1.8,2.8,0.9,0.5,0.3,0.4,2,2.7
Tyrese Proctor,21,CLE,PG,26,1,11.1,1.6,4.7,0.344,0.9,3,0.299,0.7,1.7,0.422,0.439,0.7,0.9,0.826,0.2,1.1,1.3,1.3,0.3,0,0.4,1,4.8
Dario Šarić,31,SAC,C,5,0,8.2,0.2,1.2,0.167,0.2,0.6,0.333,0,0.6,0,0.25,0.4,0.4,1,0.2,1,1.2,0.4,0,0,0.4,0.6,1
Baylor Scheierman,25,BOS,SG,32,0,11.1,0.9,1.9,0.492,0.7,1.6,0.42,0.3,0.3,0.818,0.664,0.1,0.1,0.667,0.3,1.3,1.6,0.6,0.4,0.1,0.4,1.4,2.6
Julian Strawther,23,DEN,SG,18,0,9.4,1.2,3.4,0.361,0.3,1.5,0.185,0.9,1.9,0.5,0.402,1.1,1.4,0.731,0.1,1.2,1.3,0.8,0.1,0.1,0.4,1,3.8
Xavier Tillman Sr.,27,BOS,C,11,1,9.4,1.3,2.5,0.5,0.3,1.2,0.231,1,1.4,0.733,0.554,0,0,,0.9,1.3,2.2,0.5,0.5,0.2,0.4,0.8,2.8
